,priceoff,quantity,Address,upc,zip_code,storeAddress,Store_Latitude,Store_Longitude
239,50% off,Out of Stock,"12602 N Paradise Village Pkwy W Phoenix, AZ",190198000000,85032,12602+N+Paradise+Village+Pkwy+W+Phoenix+AZ+85032,33.6004996,-111.9896967
240,50% off,Out of Stock,"3425 W Frye Rd Chandler, AZ",190198000000,85226,3425+W+Frye+Rd+Chandler+AZ+85226,33.2957302,-111.8995851
241,25% off,Out of Stock,"1135 S Gilbert Rd Mesa, AZ",190198000000,85204,1135+S+Gilbert+Rd+Mesa+AZ+85204,33.3943485,-111.7855007
242,50% off,Out of Stock,"15444 N Frank Lloyd Wright Blvd Scottsdale, AZ",190198000000,85260,15444+N+Frank+Lloyd+Wright+Blvd+Scottsdale+AZ+85260,33.6265712,-111.8887178
243,50% off,Out of Stock,"10404 N 43rd Ave Glendale, AZ",190198000000,85302,10404+N+43rd+Ave+Glendale+AZ+85302,33.5802437,-112.1532676
244,50% off,Out of Stock,"16806 N 7th St Phoenix, AZ",190198000000,85022,16806+N+7th+St+Phoenix+AZ+85022,33.6381086,-112.0688753
245,25% off,Out of Stock,"7409 W Virginia Ave Phoenix, AZ",190198000000,85035,7409+W+Virginia+Ave+Phoenix+AZ+85035,33.4757981,-112.2179103
246,50% off,Out of Stock,"1515 E Warner Rd Gilbert, AZ",190198000000,85296,1515+E+Warner+Rd+Gilbert+AZ+85296,33.3337446,-111.7575908
247,50% off,Out of Stock,"21001 N Tatum Blvd Ste 20 Phoenix, AZ",190198000000,85050,21001+N+Tatum+Blvd+Ste+20+Phoenix+AZ+85050,33.674184,-111.9744196
248,50% off,Out of Stock,"3777 S ARIZONA AVE Chandler, AZ",190198000000,85248,3777+S+ARIZONA+AVE+Chandler+AZ+85248,33.2503016,-111.8376547
249,50% off,Out of Stock,"3931 S Gilbert Rd Gilbert, AZ",190198000000,85297,3931+S+Gilbert+Rd+Gilbert+AZ+85297,33.2789082,-111.7859135
