Google_Api_Query,Google_Maps,Item_Availability,Item_Discount,Item_Price,Item_Quantity,Store_Latitude,Store_Longitude,Store_Name,Store_Zip
6303+Richmond+Hwy+Alexandria+VA+22306,https://maps.google.com/maps?q=6303+Richmond+Hwy+Alexandria+VA+22306,Out of Stock,15% off,$16.88 ,0,38.780007,-77.0766457,Walmart Supercenter #5753,22306
1500+B+Cornerside+Blvd+Vienna+VA+22182,https://maps.google.com/maps?q=1500+B+Cornerside+Blvd+Vienna+VA+22182,Out of Stock,15% off,$16.88 ,0,38.929785,-77.2453544,Walmart #5936,22182
11181+Lee+Hwy+Fairfax+VA+22030,https://maps.google.com/maps?q=11181+Lee+Hwy+Fairfax+VA+22030,Out of Stock,15% off,$16.88 ,0,38.8496895,-77.331904,Walmart Supercenter #5880,22030
5935+Memorial+Dr+Stone+Mountain+GA+30083,https://maps.google.com/maps?q=5935+Memorial+Dr+Stone+Mountain+GA+30083,Limited Stock,75% off,$5.00 ,0,33.7991522,-84.195103,Walmart #3188,30083
1400+Lawrenceville+Hwy+Lawrenceville+GA+30044,https://maps.google.com/maps?q=1400+Lawrenceville+Hwy+Lawrenceville+GA+30044,In Stock,15% off,$16.88 ,12,33.9364832,-84.0250038,Walmart Supercenter #3388,30044
4004+Lawrenceville+Hwy+Nw+Lilburn+GA+30047,https://maps.google.com/maps?q=4004+Lawrenceville+Hwy+Nw+Lilburn+GA+30047,In Stock,15% off,$16.88 ,4,33.9030698,-84.1101959,Walmart Supercenter #1373,30047
1550+Scenic+Hwy+N+Snellville+GA+30078,https://maps.google.com/maps?q=1550+Scenic+Hwy+N+Snellville+GA+30078,In Stock,15% off,$16.88 ,12,33.8865557,-84.0078635,Walmart Supercenter #1720,30078
630+Collins+Hill+Rd+Lawrenceville+GA+30046,https://maps.google.com/maps?q=630+Collins+Hill+Rd+Lawrenceville+GA+30046,In Stock,15% off,$16.88 ,7,33.9711458,-83.9964473,Walmart Supercenter #548,30046
2635+Pleasant+Hill+Rd+Duluth+GA+30096,https://maps.google.com/maps?q=2635+Pleasant+Hill+Rd+Duluth+GA+30096,In Stock,15% off,$16.88 ,4,33.9700974,-84.1502739,Walmart Supercenter #2154,30096
1825+Rockbridge+Rd+Stone+Mountain+GA+30087,https://maps.google.com/maps?q=1825+Rockbridge+Rd+Stone+Mountain+GA+30087,In Stock,15% off,$16.88 ,18,33.8246166,-84.1246736,Walmart Supercenter #1184,30087
3245+Lawrenceville+Suwanee+Rd+Suwanee+GA+30024,https://maps.google.com/maps?q=3245+Lawrenceville+Suwanee+Rd+Suwanee+GA+30024,In Stock,15% off,$16.88 ,5,34.0370605,-84.0507491,Walmart Supercenter #3462,30024
4221+Atlanta+Hwy+Loganville+GA+30052,https://maps.google.com/maps?q=4221+Atlanta+Hwy+Loganville+GA+30052,In Stock,15% off,$16.88 ,13,33.8411037,-83.9110623,Walmart Supercenter #5252,30052
